schema_version,producer,producer_commit,producer_dirty,evaluator_api,campaign_id,run_id,point_id,yukawa_type,yukawa_type_installed,mh_input_GeV,mH_input_GeV,mA_input_GeV,mHp_input_GeV,sin_beta_minus_alpha_input,tan_beta_input,beta_input_rad,M2_input_GeV2,m12_sq_input_GeV2,lambda6_input,lambda7_input,lambda1_reconstructed,lambda2_reconstructed,lambda3_reconstructed,lambda4_reconstructed,lambda5_reconstructed,lambda6_reconstructed,lambda7_reconstructed,tan_beta_reconstructed,m12_sq_reconstructed_GeV2,M2_reconstructed_GeV2,construction_ok,numerical_ok,rejection_stage,rejection_reason,positivity_reported_ok,unitarity_ok,perturbativity_ok,stability_reported_ok,stability_dependency_alias,triple_ok_legacy,theory_ok_v1,experimental_evaluated,experimental_ok,two_hdmc_hphiphi_real_GeV,two_hdmc_hphiphi_imag_GeV,g_physical_hphiphi_GeV,g_physical_hphiphi_abs_GeV,g_hH2H2_GeV,width_bb_GeV,width_cc_GeV,width_tt_GeV,width_tautau_GeV,width_WW_GeV,width_ZZ_GeV,width_gammagamma_GeV,width_Zgamma_GeV,width_gg_GeV,width_hh_GeV,total_width_GeV,width_unaccounted_GeV,br_bb,br_cc,br_tt,br_tautau,br_WW,br_ZZ,br_gammagamma,br_Zgamma,br_gg,br_hh,width_ok,ctau_mm
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,known_seed_low_mass,point_cbb497bf2ff798d5,1,1.00000000000000000e+00,1.25129999999999995e+02,1.30000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67216815446837099e+04,3.34299910929303167e+02,1.00000000000000006e-01,0.00000000000000000e+00,1.00820077853277290e-01,2.58276070518430323e-01,2.71760899016182522e+00,-1.20972313165073175e+00,-1.20972313165073198e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34299910929302541e+02,1.67216815446836808e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-7.30433967176254555e+01,7.30433967176254555e+01,7.30433967176254555e+01,7.30433967176254555e+01,1.68923454963338999e-06,7.57688717259754917e-08,0.00000000000000000e+00,1.64557991401996388e-07,2.86635725874939584e-06,3.82673275504883934e-07,2.37808359899980831e-08,1.88711215653217959e-08,2.18489920852363346e-07,0.00000000000000000e+00,5.44093329247645681e-06,1.19946705313094530e-09,3.10467792716592916e-01,1.39257123094573120e-02,0.00000000000000000e+00,3.02444420021730012e-02,5.26813527141180016e-01,7.03322858293506242e-02,4.37072735717628467e-03,3.46836113418559286e-03,4.01566990638323046e-02,0.00000000000000000e+00,1.00000000000000000e+00,3.62671199576839627e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,known_seed_llp,point_4b4a19a1f24c3517,1,1.00000000000000000e+00,1.25129999999999995e+02,2.00000000000000000e+02,5.00000000000000000e+02,5.00000000000000000e+02,1.00000000000000000e+00,1.00000000000000000e+04,1.57069632679522986e+00,3.99999995713761018e+04,3.99999991714139513e+00,1.00000000000000004e-10,0.00000000000000000e+00,9.65282173383941511e-01,2.58270157669935219e-01,7.18615451026975993e+00,-3.46394217983486463e+00,-3.46394217983486463e+00,1.00000000000000004e-10,0.00000000000000000e+00,9.99999999999053944e+03,3.99999990804266359e+00,3.99999994803887894e+04,1,1.00000000000000000e+00,accepted,none,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.35914286778763653e+01,6.35914286778763653e+01,6.35914286778763653e+01,6.35914286778763653e+01,3.92309077037458490e-11,1.75213231424297158e-12,0.00000000000000000e+00,4.14221289487724465e-12,0.00000000000000000e+00,0.00000000000000000e+00,2.88348115773086119e-14,4.44458618598753375e-15,1.28927420729215300e-11,0.00000000000000000e+00,5.80801814246648160e-11,2.89070411139278941e-14,6.75461176970182819e-01,3.01674731597669638e-02,0.00000000000000000e+00,7.13188697636915059e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.96465590671577701e-04,7.65250052077154607e-05,2.21981780302194287e-01,0.00000000000000000e+00,1.00000000000000000e+00,3.39749249330342958e-03
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_66b7a78136cba8c9,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.60000000000000000e+04,3.19872051179528796e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_2263e53ef1030c56,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.63750000000000000e+04,3.27369052379049037e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_113c7d24e2d89abd,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67500000000000000e+04,3.34866053578569222e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_4dd0759b6fef8570,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.71250000000000000e+04,3.42363054778089406e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_bfb9fae8bc03401b,1,nan,1.25129999999999995e+02,1.25000000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.75000000000000000e+04,3.49860055977609647e+02,1.00000000000000006e-01,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,construction,mh_gt_mH,nan,nan,nan,nan,2HDMC-patched:check_stability==check_positivity,nan,nan,0.00000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_a23e9db1a675094c,1,1.00000000000000000e+00,1.25129999999999995e+02,1.33750000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.60000000000000000e+04,3.19872051179528796e+02,1.00000000000000006e-01,0.00000000000000000e+00,7.06388385611703029e+01,2.58290809842071423e-01,2.74968405107642289e+00,-1.22162724183137916e+00,-1.22162724183137938e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.19872051179435687e+02,1.59999999999953416e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-4.93314808258601829e+01,4.93314808258601829e+01,4.93314808258601829e+01,4.93314808258601829e+01,1.72912319047679288e-06,7.75263029870319284e-08,0.00000000000000000e+00,1.69315356698215451e-07,4.20117706933602161e-06,5.78644520032572847e-07,6.50744984314588493e-09,1.61828811397003054e-08,2.37524102908448133e-07,0.00000000000000000e+00,7.01723140601926166e-06,1.23053259733217656e-09,2.46411026005723621e-01,1.10479900834581542e-02,0.00000000000000000e+00,2.41285126428892778e-02,5.98694389033875063e-01,8.24605156296002173e-02,9.27352892704080573e-04,2.30616324350069266e-03,3.38486917653455163e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.81203467553793774e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_61a9a8c39ce8d383,1,1.00000000000000000e+00,1.25129999999999995e+02,1.33750000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.63750000000000000e+04,3.27369052379049037e+02,1.00000000000000006e-01,0.00000000000000000e+00,5.51748110041849671e+01,2.58288335597662289e-01,2.74349844005362886e+00,-1.21544163080858492e+00,-1.21544163080858514e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.27369052378980371e+02,1.63749999999965657e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-5.64964362669125251e+01,5.64964362669125251e+01,5.64964362669125251e+01,5.64964362669125251e+01,1.72912319047679288e-06,7.75263029870319284e-08,0.00000000000000000e+00,1.69315356698215451e-07,4.20117706933602161e-06,5.78644520032572847e-07,9.80722356905101906e-09,1.79983928658972637e-08,2.37524102908448133e-07,0.00000000000000000e+00,7.02234669147136341e-06,1.23053259733217656e-09,2.46231532911471346e-01,1.10399424000509096e-02,0.00000000000000000e+00,2.41109367191809053e-02,5.98258282297333577e-01,8.24004489461245687e-02,1.39657353872344229e-03,2.56301684560181339e-03,3.38240353750863740e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.80998630613970569e-08
dihiggs.point.v2,DihiggsPointV2Evaluator,f7cce2aecfafb5f8e25f26ae0b917adcf5894989,no,THDM::set_param_phys+THDM::get_param_gen+THDM::get_coupling_hhh+2HDMC::DecayTable,issue62-yukawa-order-recompute-v2,seed_low_mass_neighborhood,point_800a194c9a4100ec,1,1.00000000000000000e+00,1.25129999999999995e+02,1.33750000000000000e+02,3.00000000000000000e+02,3.00000000000000000e+02,9.98999999999999999e-01,5.00000000000000000e+01,1.55079899282174605e+00,1.67500000000000000e+04,3.34866053578569222e+02,1.00000000000000006e-01,0.00000000000000000e+00,3.97107834471997094e+01,2.58285861353253210e-01,2.73731282903083439e+00,-1.20925601978579089e+00,-1.20925601978579089e+00,1.00000000000000006e-01,0.00000000000000000e+00,4.99999999999999005e+01,3.34866053578479523e+02,1.67499999999955107e+04,1,1.00000000000000000e+00,unitarity,check_unitarity_false,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2HDMC-patched:check_stability==check_positivity,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,nan,0.00000000000000000e+00,-6.36613917079644551e+01,6.36613917079644551e+01,6.36613917079644551e+01,6.36613917079644551e+01,1.72912319047679288e-06,7.75263029870319284e-08,0.00000000000000000e+00,1.69315356698215451e-07,4.20117706933602161e-06,5.78644520032572847e-07,1.37813990252327981e-08,1.99104022221891928e-08,2.37524102908448133e-07,0.00000000000000000e+00,7.02823287628383750e-06,1.23053259733217656e-09,2.46025312609029961e-01,1.10306963858066969e-02,0.00000000000000000e+00,2.40907436732148462e-02,5.97757237599870872e-01,8.23314381037598547e-02,1.96086260484295205e-03,2.83291725995237290e-03,3.37957075540215243e-02,0.00000000000000000e+00,1.00000000000000000e+00,2.80763292670427555e-08
